,id,casts,genres,title,vote_count,ratings
92,609972,"[1902689, 1563211, 1865188]","[{'name': '공포'}, {'name': '미스터리'}, {'name': '스릴러'}]",파라노말 액티비티: 넥스트 오브 킨,299,6.5
93,685274,"[1065297, 1452028, 9721]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '드라마'}, {'name': 'SF'}]",기동전사 건담: 섬광의 하사웨이,77,7.8
94,527774,"[1663195, 1625558, 2362044]","[{'name': '가족'}, {'name': '판타지'}, {'name': '애니메이션'}, {'name': '액션'}, {'name': '모험'}]",라야와 마지막 드래곤,5039,8.0
95,451048,"[18918, 5081, 25616]","[{'name': '액션'}, {'name': '모험'}, {'name': '코미디'}, {'name': '판타지'}]",정글 크루즈,4021,7.6
96,876716,"[1774679, 2990412, 1277188]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}, {'name': '판타지'}]",안녕 알베르토,411,7.6
97,423108,"[17178, 21657, 1731961]","[{'name': '공포'}, {'name': '미스터리'}, {'name': '스릴러'}]",컨저링 3: 악마가 시켰다,4228,7.7
98,617653,"[1892, 1023139, 1388593]","[{'name': '액션'}, {'name': '드라마'}, {'name': '역사'}]",라스트 듀얼: 최후의 결투,1839,7.6
99,817648,"[32895, 84214, 60949]","[{'name': '가족'}, {'name': '코미디'}]",홈 팀,363,6.9
100,588228,"[73457, 63312, 18999]","[{'name': '액션'}, {'name': 'SF'}, {'name': '모험'}]",투모로우 워,5172,8.0
101,796499,"[16808, 1251069, 229396]","[{'name': '범죄'}, {'name': '코미디'}]",아미 오브 더 데드: 도둑들,1162,6.9
102,529203,"[2963, 54693, 10859]","[{'name': '애니메이션'}, {'name': '가족'}, {'name': '모험'}, {'name': '판타지'}, {'name': '코미디'}]",크루즈 패밀리: 뉴 에이지,2875,7.6
103,639721,"[25072, 6885, 2532098]","[{'name': '애니메이션'}, {'name': '모험'}, {'name': '코미디'}, {'name': '가족'}]",아담스 패밀리 2,781,7.2
104,790142,"[54722, 1515478, 1211193]","[{'name': '로맨스'}, {'name': '코미디'}]",로열 트리트먼트,385,6.8
105,637649,"[976, 7497, 928572]","[{'name': '액션'}, {'name': '범죄'}, {'name': '스릴러'}]",캐시트럭,3368,7.8
106,523936,"[1165384, 11263, 3026410]","[{'name': '공포'}, {'name': 'SF'}, {'name': '드라마'}, {'name': '스릴러'}]",이스케이프 큐브,218,6.1
107,927855,"[1729378, 1352403, 3385861]","[{'name': '로맨스'}, {'name': '코미디'}]",사랑의 전술,79,6.8
108,787310,"[62747, 1075049, 62]","[{'name': '액션'}, {'name': '스릴러'}, {'name': '범죄'}]",서바이드 더 게임,105,5.7
109,640265,"[1366083, 1532277, 1956]","[{'name': '드라마'}, {'name': '로맨스'}, {'name': '음악'}]",하늘은 어디에나 있어,16,5.8
110,272,"[3894, 3895, 3896]","[{'name': '액션'}, {'name': '범죄'}, {'name': '드라마'}]",배트맨 비긴즈,17322,7.7
111,762433,"[569, 2313632, 1378239]","[{'name': '스릴러'}, {'name': '전쟁'}]",제로스 앤 원스,117,5.3
112,755812,"[1762588, 1558832]","[{'name': '애니메이션'}, {'name': '가족'}, {'name': '코미디'}, {'name': '모험'}, {'name': 'TV 영화'}]","미라큘러스 월드 : 뉴욕, 하나 된 영웅들",862,8.3
113,726684,"[1762588, 1558832]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}, {'name': '모험'}]","미라큘러스 월드: 상하이, 레이디 드레곤의 전설",410,7.9
114,922885,"[132996, 1457183, 227073]","[{'name': 'TV 영화'}, {'name': '미스터리'}, {'name': '스릴러'}, {'name': '코미디'}]",Laura y el misterio del asesino inesperado,8,7.3
115,581726,"[13240, 5294, 1282054]","[{'name': 'SF'}, {'name': '액션'}, {'name': '스릴러'}]",인피니트,906,6.8
116,228150,"[287, 33235, 454]","[{'name': '전쟁'}, {'name': '드라마'}, {'name': '액션'}]",퓨리,9750,7.5
117,665828,"[2412, 39195, 119199]","[{'name': 'SF'}, {'name': '코미디'}]",빅버그,173,5.4
118,592350,"[1325962, 1245094, 2040402]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '판타지'}, {'name': '모험'}]",나의 히어로 아카데미아 더 무비: 히어로즈 라이징,889,8.4
119,795514,"[974169, 1483976, 1891446]",[{'name': '드라마'}],폴아웃,130,7.4
120,610253,"[8944, 20750, 1511997]","[{'name': '공포'}, {'name': '스릴러'}]",할로윈 킬즈,1579,6.8
121,895001,"[566091, 3299568, 1354321]",[{'name': '공포'}],더 홀 트루스,109,6.5
122,324786,"[37625, 65731, 4937]","[{'name': '드라마'}, {'name': '역사'}, {'name': '전쟁'}]",핵소 고지,10660,8.2
123,728526,"[53240, 6944, 2670299]","[{'name': '모험'}, {'name': '드라마'}]",엔카운터,254,6.4
124,763164,"[2203, 62, 77109]","[{'name': '액션'}, {'name': '스릴러'}, {'name': 'SF'}]",에이펙스,400,5.4
125,923632,"[3409041, 2172262, 3409049]","[{'name': '다큐멘터리'}, {'name': '범죄'}]",데이트 앱 사기: 당신을 노린다,440,7.1
126,568620,"[1807132, 1658375, 1168128]","[{'name': '액션'}, {'name': '모험'}]",스네이크 아이즈: 지.아이.조,1025,6.8
127,102382,"[37625, 54693, 134]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",어메이징 스파이더맨 2,10750,6.5
128,820511,"[1061495, 3059453, 1803458]",[{'name': '공포'}],Ripper Untold,72,6.6
129,775943,"[866134, 1018723, 2893049]","[{'name': '공포'}, {'name': '드라마'}]",Llanto Maldito,19,5.1
130,754934,"[1511997, 46593, 2444662]","[{'name': '공포'}, {'name': '스릴러'}]",선,89,6.0
131,464052,"[90633, 62064, 41091]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",원더 우먼 1984,6594,6.6
132,885110,"[2010333, 1588028, 2054686]","[{'name': '전쟁'}, {'name': '역사'}, {'name': '드라마'}]",아미나: 전사의 이름,91,6.5
133,831223,"[49425, 232525, 25872]","[{'name': 'TV 영화'}, {'name': '스릴러'}, {'name': '범죄'}]",Gone Mom: The Disappearance of Jennifer Dulos,112,7.8
